Title,Contents,Date
Really bad customer wont take care of their mistake the right way!,I ordered whole bunch of clothes on 11/30/19 and paid for express shippingWhen I received my clothes today I realized they made a mistake on one of the item they gave me a sweater instead of the sweatpants so I contacted them right away to tell them the order issue but the first thing they want me to do was to return their sweater. It’s holiday season I have no time to return this so I told them to refund me the difference between the sweater and the sweatpants (sweater was $20 cheaper) and they still won’t do that for me. W T H! W T F! I dont wanna spend my time on ur mistakes! I have to say they have nice selections of clothes but SUPER BAD CUSTOMER SERVICE!!!,"Dec 3, 2019"
Jonathon was very helpful and offered a…,Jonathon was very helpful and offered a replacement,"Dec 3, 2019"
Narina was very helpful,Narina was very helpful and understanding of my issue with my order. Happy with this experience on the chat room help,"Dec 3, 2019"
I love shopping with ASOS,"I love shopping with ASOS. The brands are on-trend, shipping is fast, and the customer service is superb! I'm a lifetime customer!","Dec 3, 2019"
Elysha helped me to resolve everything,Elysha helped me to resolve everything,"Dec 3, 2019"
Despite unfortunately not receiving my…,"Despite unfortunately not receiving my order, was eventually sorted swiftly in this presumably very busy time of black friday","Dec 3, 2019"
Helpful and efficient online chat for…,Helpful and efficient online chat for refund queries,"Dec 3, 2019"
I did a live chat with Poppy and she…,I did a live chat with Poppy and she was wonderful. Gave me all the information I needed in a quick and friendly manner.,"Dec 3, 2019"
Good customer service from Kristofer,Good customer service from Kristofer. Took a long time to get an agent though.,"Dec 3, 2019"
Thank you Harry!,"Harry was really helpful when resolving my query. He was friendly, knowledgeable and made sure that my query was resolved in a timely and professional manner. Thank you Harry for your great customer service :-)","Dec 3, 2019"
Horrible customer service,"Horrible customer service, they don't tell you there will be huge customs charges at pick up that aren't included at checkout. can't get ahold of anyone that works there, no phone number to call, not helpful at all and would definitely never order from there again.","Dec 3, 2019"
Quick response x,Quick response x,"Dec 3, 2019"
Sean is very polite and usefull with…,"Sean is very polite and usefull with advices, thank you for the service!","Dec 3, 2019"
Satisfied Customer,Shopping became a breeze once they offered their premier two day free shipping few years ago; I can always rely on them as a trusted source when it comes to finding a last minute outfits for an event plus their stylish/affordable clothing.,"Dec 3, 2019"
Terrible terrible service,Terrible terrible - ordered and carrier said they had my order - next email from ASOS says returned to them! I never received it - AVOID AVOID this company!,"Dec 3, 2019"
Disponibilità immediata,Disponibilità immediata,"Dec 3, 2019"
Helpful chat,Helpful chat. Answered my questions.,"Dec 3, 2019"
LEITH done a wonderful job in assisting…,LEITH done a wonderful job in assisting me with my help. thanks Leith,"Dec 3, 2019"
Paul was friendly and really helpful,"Paul was friendly and really helpful, good job","Dec 3, 2019"
Deanna was really helpful!,Deanna was really helpful!,"Dec 3, 2019"
Do not trust this company,Do not trust this company. Two items missing and they sent me to credit company they don’t want to know just want it money. Stay away,"Dec 3, 2019"
Liberty on 02/12/19...20:00hrs,"Liberty on 02/12/19...20:00hrs . helpped me with 3 issues, she was amazing and timely.and patientTHANKYOU","Dec 3, 2019"
Deanna was very helpful and sorted my…,Deanna was very helpful and sorted my problem with delivery costs.,"Dec 3, 2019"
staff is always kind and knowledgable,staff is always kind and knowledgable. You don't have to repeat your query over and over. They are quick to find answers and resolutions.,"Dec 3, 2019"
Dealt with Elise who was fantastic,Dealt with Elise who was fantastic. Issue resolved in minutes. Can't fault ASOS,"Dec 3, 2019"
international crisis averted,"Hasan was very quick and kind to answer my questions, truly a good customer service. Specially to solve problems for my international problems. For any Argentinians watching this, ship with express delivery so you can avoid dealing with customs directly. the fees will appear but it will be less of a headache","Dec 3, 2019"
I got all answers to my questions,I got all answers to my questions,"Dec 3, 2019"
Not a good service (Leigh Ann) to be…,Not a good service (Leigh Ann) to be honest about my missing order!This will have consequences because I have 50K followers on instagram. I have the goal to advise my followers with the service of some brands.,"Dec 3, 2019"
My package was lost,My package was lost. I had bought the items were there was a promo on the website. Customer Service said they would refund me my money but I had to fight to get the replacement discount. So frustrating when it was not my fault.,"Dec 3, 2019"
Ben gave me a clear explanation of why…,Ben gave me a clear explanation of why my order would be later than initially indicated.,"Dec 3, 2019"
Dreadful customer service with a clear…,"Dreadful customer service with a clear lack of respect for their customers.Spent over £300 on orders which were expected next day. Received an email to confirm & on the day of delivery I received a text confirming the time slot.So far so good. Until the delivery time came and went, and then the next day.. and the next day. I raised the issue to ASOS via email - no reply (and getting quite worried as I hadn't received any updates.)Raised the query again via their chat service. No adequate answer given apart from a pre-written message stating ""For order number XXXXXXX I can see you were refunded XXX GBP on the X December 2019. Please allow 10 working days for the funds to appear in your account.""I asked for clarification, and was told that if I wanted the items I would have to re-order (not possible since 90% of the items are now out of stock). Some back and forth with the rep and I was advised ""If you have any further questions please visit our help pages"", the chat was closed as I continued to type.Still £300 down and awaiting a refund for an order I never received. Won't waste my time with ASOS again.","Dec 3, 2019"
My package never arrived but...,"My package never arrived and I contacted to chat with customer service.  Lucy was able to sort out the problem, and help me with the replacement order swiftly.","Dec 3, 2019"
